R编号,event_id,行类型,阶段(原表),六阶段(6.2),学生发言,AI可见回复,透镜标签,"标签归属
← 人工复核",归属置信,归属初判依据,"卡片调用
card_id","卡片调用
触发来源","卡片调用
学生目标","卡片调用
卡片输出","卡片调用
下游产物",发起方,发起方依据,脚手架密度,反馈处置,备注 / 风险标记
11,E008,内部批注,微信真实起点,2 资料/文献,why opened = 我是因为哪个词、链接、推荐或疑问打开它。,这个字段会让查找路径可追踪。,,,,,,,,,,引导·AI提示,R9,高,—,"同上,字段复述 ｜ 套版填写(证据卡/资源表骨架源自R9 AI)"
12,E008,内部批注,微信真实起点,2 资料/文献,can show = 这条材料最多能证明什么。,对，最多能证明什么，而不是你希望它证明什么。,,,,,,,,,,引导·AI提示,R9,高,—,"同上,字段复述 ｜ 套版填写(证据卡/资源表骨架源自R9 AI)"
13,E008,内部批注,微信真实起点,2 资料/文献,cannot show = 它不能证明什么，尤其不能证明什么大结论。,这个字段会防止后面过度概括。,,,,,,,,,,引导·AI提示,R9,高,—,"同上,字段复述 ｜ 套版填写(证据卡/资源表骨架源自R9 AI)"
14,E009,内部批注,微信真实起点,2 资料/文献,我先把公众号状态写成 candidate -> opened -> audited -> downgraded to origin。,可以。状态路径比简单写“有用/没用”更清楚。,,,,,,,,,,自发,,低,—,
15,E009,内部批注,微信真实起点,2 资料/文献,"decision：retain in process log, exclude from body evidence unless explaining research origin。",这个决定合理。,,,,,,,,,,自发,,低,—,
16,E009,内部批注,微信真实起点,2 资料/文献,"not used for：not used for NASA's exact claim, not used for China-alone data, not used for sustainability conclusion。",这三个 not used for 很关键。,,,,,,,,,,自发,,低,—,
17,E010,内部批注,微信真实起点,2 资料/文献,我在source log里写：This source triggered my question but did not function as evidence in the final argument。,很好。,,,,,,,,,,自发,,低,—,
18,E011,交互轮,微信真实起点,2 资料/文献,我先搜中文：美航局 卫星 地球变绿 印度 中国。,可以，先从真实语言入口开始。,SIFT · Investigate,学生执行,高,自行决定先用中文检索,,,,,,自发,,低,—,自行决定先用中文检索
19,E011,内部批注,微信真实起点,2 资料/文献,搜索结果里有很多中文转载，标题相似，我没有把它们当独立证据。,对。相似转载不是独立证据。,SIFT · Investigate,学生执行,高,「我没有把它们当独立证据」是学生的判断,,,,,,自发,,低,—,"源表未记录触发来源(5.1要件缺失),按3.2保守记引导"
20,E011,内部批注,微信真实起点,2 资料/文献,我写失败搜索价值：它说明这个说法有传播链，但没有确认原始研究。,这个失败搜索有价值。,,,,,,,,,,自发,,低,—,
21,E011,内部批注,微信真实起点,2 资料/文献,我把下一步改成英文：NASA China India greening Earth satellite。,这个搜索词更接近原文语言。,SIFT · Find,学生执行,高,中文转载不足后自行改英文检索词,,,,,,引导后自发接续,R19-R20,中,—,中文转载不足后自行改英文检索词——超出 AI 要求的自发调整
22,E011,内部批注,微信真实起点,2 资料/文献,我不是让AI给我NASA链接，而是自己用公众号里的线索搜。,这点可以留在AI use statement后面再写，不用现在展开。,SIFT · Find,学生执行,中,学生发言中含动作或判断,,,,,,自发,,低,—,"源表未记录触发来源(5.1要件缺失),按3.2保守记引导"
23,E012,交互轮,微信真实起点,2 资料/文献,我现在准备打开nasa.gov结果。,打开后记录URL和打开理由。,SIFT · Find,AI示范,高,AI 给出「打开后记录 URL 和打开理由」,,,,,,自发,,低,—,透镜标签不构成引导（v3 修订）
24,E012,内部批注,微信真实起点,2 资料/文献,我先提醒自己：公众号是起点，不是正文证据。,这条提醒保留。,,,,,,,,,,自发,,低,—,
25,E013,交互轮,微信真实起点,2 资料/文献,下一步就是看NASA页面是不是原站页面，不是转载。,对，先确认站内页面和页面身份。,,,,,,,,,,自发,,低,—,
26,E014,交互轮,NASA页面,2 资料/文献,"我在NASA里面搜索几个关键词greening, China, India, 我发现一个链接在NASA页面：https://www.nasa.gov/centers-and-facilities/ames/human-activity-in-china-and-india-dominates-the-greening-of-earth-nasa-study-shows/。",先看页面身份和标题，不要急着摘结论。,SIFT · Find,学生执行,高,自己在 NASA 站内检索并打开,,,,,,自发,,低,—,自己在 NASA 站内检索并打开
27,E015,交互轮,NASA页面,2 资料/文献,打开理由：域名是nasa.gov，标题含Human Activity、China and India、Greening of Earth，和公众号线索完全对应。,这个打开理由非常具体。,,,,,,,,,,引导·AI提示,R26,中,—,
28,E015,内部批注,NASA页面,2 资料/文献,我先检查页面是不是NASA站内页面，不是转载。,很好。URL和页面标识都要看。,,,,,,,,,,引导·AI提示,R26,中,—,
29,E015,内部批注,NASA页面,2 资料/文献,我注意到路径里有ames，所以我记录NASA Ames，不直接写NASA总部声明。,准确。,,,,,,,,,,引导·AI提示,R26,中,—,
30,E015,内部批注,NASA页面,2 资料/文献,我先看metadata：机构、作者、日期、页面类型。,这个顺序专业。,,,,,,,,,,引导·AI提示,R26,中,—,
31,E016,交互轮,NASA页面,2 资料/文献,机构：NASA Ames；作者：Abby Tabor；发布日期：2019年2月11日；后来更新过。,记录清楚。,,,,,,,,,,自发,,低,—,
32,E016,内部批注,NASA页面,2 资料/文献,页面类型我写：institutional research news / public summary。,对。它不是同行评议论文。,,,,,,,,,,自发,,低,—,
33,E016,内部批注,NASA页面,2 资料/文献,"我给NASA的source hierarchy写：high institutional authority, secondary to linked peer-reviewed paper for precise data。",非常好。,,,,,,,,,,自发,,低,—,
34,E017,交互轮,NASA页面,2 资料/文献,"我先读标题是Human Activity in China and India Dominates the Greening of Earth, NASA Study Shows。",注意标题里有China and India和study shows。,主张追问,学生执行,中,学生发言中含动作或判断,,,,,,自发,,低,—,透镜标签不构成引导（v3 修订）
35,E017,内部批注,NASA页面,2 资料/文献,我把dominates标为强动词，决定正文慎用。,合理。标题动词常有传播语气。,,,,,,,,,,自发,,低,采纳(无理由),
36,E018,交互轮,NASA页面,2 资料/文献,我把study shows标为提示：这背后应该有研究论文。,对。继续找论文。,,,,,,,,,,自发,,低,—,
37,E018,内部批注,NASA页面,2 资料/文献,我第一遍读正文只圈关键词：human activity、China and India、greening、satellite、study。,第一遍抓结构，很好。,,,,,,,,,,自发,,低,—,
38,E018,内部批注,NASA页面,2 资料/文献,第二遍我找数字：one-third、9%。,数字进入候选区前要确认对象。,,,,,,,,,,自发,,低,—,
39,E019,交互轮,NASA页面,2 资料/文献,"我看到China and India account for one-third of the greening, but contain only 9% of the planet's land area covered in vegetation。",可以作为候选，但必须写combined。,,,,,,,,,,自发,,低,—,
40,E019,内部批注,NASA页面,2 资料/文献,"我在one-third旁边写combined: China + India, not China alone。",非常关键。,,,,,,,,,,自发,,低,—,
41,E019,内部批注,NASA页面,2 资料/文献,"我在9%旁边写vegetated land, not total land, not sustainability。",很好。,,,,,,,,,,自发,,低,—,
42,E019,内部批注,NASA页面,2 资料/文献,我写NASA candidate evidence：中印合计变绿贡献突出。,准确。,,,,,,,,,,自发,,低,—,
43,E019,内部批注,NASA页面,2 资料/文献,我写NASA not used for：不能证明中国单独贡献；不能证明排放下降；不能证明整体可持续。,很好。,,,,,,,,,,自发,,低,—,
44,E019,内部批注,NASA页面,2 资料/文献,我停了一下，专门检查：如果只引用NASA，会有什么漏洞？,这是很好的审计问题。,,,,,,,,,,自发,,低,—,
45,E019,内部批注,NASA页面,2 资料/文献,漏洞1：中印合计不能回答China alone。,对。,,,,,,,,,,自发,,低,—,
46,E019,内部批注,NASA页面,2 资料/文献,漏洞2：NASA页面是新闻稿，不是原论文。,对。,,,,,,,,,,自发,,低,—,
47,E019,内部批注,NASA页面,2 资料/文献,漏洞3：greening不等于sustainable。,对。,,,,,,,,,,自发,,低,—,
48,E020,内部批注,NASA页面,2 资料/文献,所以我把NASA状态改成audited / bridge source，而不是core evidence。,这个降级判断很专业。,SIFT · Trace,学生执行,高,「把 NASA 状态改成 bridge source」是学生的降级判断,,,,,,自发,,低,—,透镜标签不构成引导（v3 修订）
49,E021,内部批注,NASA页面,2 资料/文献,我在NASA页面底部找论文链接，这个文章发表在Nature期刊里面的子期刊 Nature Sustainability。,这就是追源链。,SIFT · Trace,学生执行,中,学生发言中含动作或判断,,,,,,自发,,低,—,透镜标签不构成引导（v3 修订）
50,E022,内部批注,NASA页面,2 资料/文献,"证据卡NASA-1我先记来源：NASA Ames public summary, author Abby Tabor, published 2019-02-11, updated later",先确认这是谁说的、是什么类型的材料。,,,,,,,,,,自发,,高,—,套版填写(证据卡/资源表骨架源自R9 AI)
51,E022,内部批注,NASA页面,2 资料/文献,这张卡里我真正拿到的事实是：China and India together account for about one-third of greening while having 9% vegetated land,事实要保留指标、对象和时间范围。,,,,,,,,,,自发,,高,—,套版填写(证据卡/资源表骨架源自R9 AI)
52,E022,内部批注,NASA页面,2 资料/文献,我准备用它说明一个比较小的判断：human activity in China and India is strongly associated with global greening in the summarized study,这个判断要比事实高一层，但不能比事实大太多。,,,,,,,,,,自发,,高,—,套版填写(证据卡/资源表骨架源自R9 AI)
53,E022,内部批注,NASA页面,2 资料/文献,中间的理由我这样写：a high greening contribution relative to vegetated land suggests notable land-surface change,这一步就是把事实和观点接起来，很关键。,,,,,,,,,,自发,,高,—,套版填写(证据卡/资源表骨架源自R9 AI)
54,E022,内部批注,NASA页面,2 资料/文献,"我在旁边提醒自己：combined China and India, not China alone",保留这个限制，后面可以防止过度结论。,,,,,,,,,,自发,,高,—,套版填写(证据卡/资源表骨架源自R9 AI)
55,E022,内部批注,NASA页面,2 资料/文献,"我在旁边提醒自己：greening / vegetated land, not overall sustainability",保留这个限制，后面可以防止过度结论。,,,,,,,,,,自发,,高,—,套版填写(证据卡/资源表骨架源自R9 AI)
56,E022,内部批注,NASA页面,2 资料/文献,"我在旁边提醒自己：public summary, secondary to linked peer-reviewed study",保留这个限制，后面可以防止过度结论。,,,,,,,,,,自发,,高,—,套版填写(证据卡/资源表骨架源自R9 AI)
57,E022,内部批注,NASA页面,2 资料/文献,"这张卡最后大概放在：source log and possible one-sentence background, not main data paragraph",位置清楚，正文才不会变成资料堆叠。,,,,,,,,,,自发,,高,—,套版填写(证据卡/资源表骨架源自R9 AI)
58,E023,内部批注,Nature论文链,2 资料/文献,NASA页面底部提到Nature Sustainability论文。我打开：https://www.nature.com/articles/s41893-019-0220-7。,现在进入论文页，重点是找具体数字和测量口径，不是只引用期刊名。,SIFT · Trace,学生执行·AI先示范,高,学生自行打开 Nature；AI 同轮给出「重点是找具体数字和测量口径」,,,,,,自发,,低,—,透镜标签不构成引导（v3 修订）
59,E023,内部批注,Nature论文链,2 资料/文献,打开理由：NASA新闻稿需要追到peer-reviewed source。,准确。,,,,,,,,,,自发,,低,—,
60,E023,内部批注,Nature论文链,2 资料/文献,我现在需要在论文中搜索中国contributes，因为我要找贡献比例。,很好。关键词从国家缩小到关系动词。,,,,,,,,,,自发,,低,—,
61,E023,内部批注,Nature论文链,2 资料/文献,我再查25，确认它和China在同一句或同一段。,这能避免错配数字。,,,,,,,,,,自发,,低,—,
62,E023,内部批注,Nature论文链,2 资料/文献,我再查6.6，确认它指global vegetated area。,很好。,,,,,,,,,,自发,,低,—,
63,E024,内部批注,Nature论文链,2 资料/文献,"我找到China contributes 25% of global net increase in leaf area, with 6.6% of global vegetated area。",这是核心中国单独数据。,,,,,,,,,,自发,,低,—,
64,E024,内部批注,Nature论文链,2 资料/文献,我把原句放入candidate quote区，但标注paraphrase later。,很好。候选摘录和最终转述要分开。,,,,,,,,,,自发,,低,—,
65,E024,内部批注,Nature论文链,2 资料/文献,我把句子拆成actor = China。,继续。,,,,,,,,,,自发,,低,—,
66,E024,内部批注,Nature论文链,2 资料/文献,measure = global net increase in leaf area。,继续。,,,,,,,,,,自发,,低,—,
67,E024,内部批注,Nature论文链,2 资料/文献,comparison = 25% contribution vs 6.6% vegetated area。,这就是数字的论证核心。,,,,,,,,,,自发,,低,—,
68,E024,内部批注,Nature论文链,2 资料/文献,我检查net increase，不把它写成total leaf area。,非常重要。net increase不是总量。,,,,,,,,,,自发,,低,—,
69,E024,内部批注,Nature论文链,2 资料/文献,我检查global，不把它写成中国国内叶面积增加。,对。global支持题目里的Earth。,,,,,,,,,,自发,,低,—,
70,E024,内部批注,Nature论文链,2 资料/文献,我检查leaf area，不把它写成forest area。,很好。leaf area比forest area范围更广。,,,,,,,,,,自发,,低,—,
71,E024,内部批注,Nature论文链,2 资料/文献,我检查vegetated area，不把它写成land area。,准确。,,,,,,,,,,自发,,低,—,
72,E024,内部批注,Nature论文链,2 资料/文献,我把转述写成：The study reports that China's share of the global net leaf-area increase was much larger than its share of global vegetated area。,这是合格转述。,,,,,,,,,,自发,,低,—,
73,E024,内部批注,Nature论文链,2 资料/文献,我再把数字加回去：25% versus 6.6%。,可以。数字必须和指标一起出现。,数据三问,学生执行,中,学生发言中含动作或判断,,,,,,自发,,低,—,"源表未记录触发来源(5.1要件缺失),按3.2保守记引导"
74,E024,内部批注,Nature论文链,2 资料/文献,"这个数据很重要因为它可以回答题目里面的“make”,说中国contributes to global net increase，不只是中国自己变绿。",准确。,,,,,,,,,,自发,,低,—,
75,E024,内部批注,Nature论文链,2 资料/文献,但是不能直接回答题目的sustainable：因为leaf-area increase不等于biodiversity、carbon neutrality、pollution reduction或human wellbeing。,非常好。,,,,,,,,,,自发,,低,—,
76,E024,内部批注,Nature论文链,2 资料/文献,我还注意到论文提forests and croplands，所以不能把变绿都写成自然森林恢复。,对。,,,,,,,,,,自发,,低,—,
77,E024,内部批注,Nature论文链,2 资料/文献,"我把croplands写进limit：some greening may reflect managed croplands, so ecological quality is not guaranteed。",很好。,,,,,,,,,,自发,,低,—,
78,E025,内部批注,Nature论文链,2 资料/文献,我删掉原草稿句：China restored nature across the world。,删得对。这个句子太大。,To What Degree,学生执行,中,学生发言中含动作或判断,,,,,,自发,,低,—,透镜标签不构成引导（v3 修订）
79,E026,内部批注,Nature论文链,2 资料/文献,我改成：China contributed disproportionately to global net leaf-area increase。,这句更准确。,,,,,,,,,,自发,,低,采纳(无理由),
80,E027,内部批注,Nature论文链,2 资料/文献,我删掉另一个句子：NASA and Nature prove China made the Earth sustainable。,删得对。NASA/Nature证明greening维度，不证明overall sustainability。,,,,,,,,,,自发,,低,—,
81,E028,内部批注,Nature论文链,2 资料/文献,我改成：NASA led me to a Nature Sustainability study that supports a qualified positive claim about greening。,这句适合source log或reflection。,,,,,,,,,,自发,,低,—,
82,E029,内部批注,Nature论文链,2 资料/文献,"证据卡我先记来源：Nature Sustainability article, read through Nature page and  open full text",先确认这是谁说的、是什么类型的材料。,,,,,,,,,,自发,,高,—,套版填写(证据卡/资源表骨架源自R9 AI)
83,E029,内部批注,Nature论文链,2 资料/文献,这张卡里我真正拿到的事实是：China contributes 25% of global net increase in leaf area while having 6.6% of global vegetated area,事实要保留指标、对象和时间范围。,,,,,,,,,,自发,,高,—,套版填写(证据卡/资源表骨架源自R9 AI)
84,E029,内部批注,Nature论文链,2 资料/文献,我准备用它说明一个比较小的判断：China contributed disproportionately to one measurable ecological dimension: global greening,这个判断要比事实高一层，但不能比事实大太多。,,,,,,,,,,自发,,高,—,套版填写(证据卡/资源表骨架源自R9 AI)
85,E029,内部批注,Nature论文链,2 资料/文献,中间的理由我这样写：25% versus 6.6% shows the contribution is large relative to China's share of vegetated land,这一步就是把事实和观点接起来，很关键。,,,,,,,,,,自发,,高,—,套版填写(证据卡/资源表骨架源自R9 AI)
86,E029,内部批注,Nature论文链,2 资料/文献,"需要注意 1：metric is leaf-area net increase, not total ecological health",保留这个限制，后面可以防止过度结论。,,,,,,,,,,自发,,高,—,套版填写(证据卡/资源表骨架源自R9 AI)
87,E029,内部批注,Nature论文链,2 资料/文献,"需要注意 2：some greening may involve croplands, so natural restoration cannot be assumed",保留这个限制，后面可以防止过度结论。,,,,,,,,,,自发,,高,—,套版填写(证据卡/资源表骨架源自R9 AI)
88,E029,内部批注,Nature论文链,2 资料/文献,"需要注意 3：does not prove carbon neutrality, emissions decline, or overall sustainability",保留这个限制，后面可以防止过度结论。,,,,,,,,,,自发,,高,—,套版填写(证据卡/资源表骨架源自R9 AI)
89,E030,交互轮,Nature论文链,2 资料/文献,现在我还需要什么别的证据？,可持续不能只由叶面积决定。或许你可以看看别的方向，比如碳排放数据？,,,,,,,,,,自发,,低,—,"学生主动问""还需要什么别的证据"""
90,E031,交互轮,排放数据链,2 资料/文献,我搜到了China share of global CO2 emissions 2024：https://essd.copernicus.org/articles/17/965/2025/,先打开页面核题名、年份、作者和页面类型。如果它确实是Global Carbon Budget 2024，就适合作为上游数据和方法来源。再看页面是否直接给中国份额；如果没有，可以继续找同一数据链里的可视化入口。,,,,,,,,,,引导·AI提示,R89,中,—,"★ 整条排放线由 AI 提出:「或许你可以看看别的方向,比如碳排放数据?」"
91,E032,交互轮,排放数据链,2 资料/文献,GCB页面很长。我看到它说这是Global Carbon Budget 2024，描述1750到2024的CO2排放和碳预算数据。,记录为Source log：上游数据/方法来源。,,,,,,,,,,引导·AI提示,R90,中,—,
92,E033,交互轮,排放数据链,2 资料/文献,它有fossil CO2 emissions，也有land-use change。我担心我后面会把口径混掉。,把口径栏单独建出来：CO2还是GHG；fossil/industry还是land-use change；annual还是cumulative；territorial还是consumption-based。,,,,,,,,,,引导·AI提示,R91,中,—,★ 机会已供给:AI 提出 territorial/consumption-based 口径
93,E034,交互轮,排放数据链,2 资料/文献,GCB不是很方便直接找中国份额。我又找到Our World in Data（ourworldindata.org）的Annual share of CO2 emissions图表：https://ourworldindata.org/grapher/annual-share-of-co2-emissions?country=~CHN，它的数据源指向Global Carbon Budget数据系列。,图表先看标题、指标和底层来源，不要只抄数字。,数据三问,学生执行,高,「GCB 不便查 → 我又找到 OWID」是学生自行改道,,,,,,引导后自发接续,R90,中,—,GCB 不便查 → 学生自己转向 OWID 并自行追回数据源(超出 AI 指示)
94,E034,内部批注,排放数据链,2 资料/文献,我要找一个和global greening对应的global emissions指标。,非常清楚。,,,,,,,,,,引导后自发接续,R90,中,—,
95,E034,内部批注,排放数据链,2 资料/文献,我没有搜China pollution，因为pollution太宽，可能包括空气、水、塑料等不同问题。,对。CO2 emissions更贴近气候可持续。,,,,,,,,,,引导后自发接续,R90,中,—,
96,E035,内部批注,排放数据链,2 资料/文献,我打开图表后先看标题：annual share of CO2 emissions。,图表标题是口径入口。,,,,,,,,,,自发,,低,—,
97,E035,内部批注,排放数据链,2 资料/文献,我检查国家筛选是China，不是全世界或多个国家混在一起。,很好。,,,,,,,,,,自发,,低,—,
98,E035,内部批注,排放数据链,2 资料/文献,我看2024附近读数，记录为about 31.8%。,图表读数用about合适。,,,,,,,,,,自发,,低,—,
99,E035,内部批注,排放数据链,2 资料/文献,我写metric note：annual share = 当年全球CO2排放份额，不是累计历史责任。,这个口径说明必须保留。,,,,,,,,,,自发,,低,—,AI 已给出四组口径维度(CO2/GHG、fossil/land-use、annual/cumulative、territorial/consumption)
100,E035,内部批注,排放数据链,2 资料/文献,我写scope note：CO2 emissions，不是所有温室气体，不是所有污染。,很好。,,,,,,,,,,自发,,低,—,
101,E036,内部批注,排放数据链,2 资料/文献,我打开OWID China profile：https://ourworldindata.org/profile/co2/china。,这个页面帮助你看到其他口径。,,,,,,,,,,自发,,低,—,
102,E036,内部批注,排放数据链,2 资料/文献,我扫到可能有per capita和cumulative等口径，但决定不展开。,这个取舍合理。,,,,,,,,,,自发,,低,—,合格排除:per capita / cumulative 明确写了排除理由
103,E036,内部批注,排放数据链,2 资料/文献,我写exclusion reason：per capita and cumulative responsibility are important but beyond the 800-word focus。,很好。,,,,,,,,,,自发,,低,—,合格排除:写出 exclusion reason
104,E037,内部批注,排放数据链,2 资料/文献,我点OWID的数据来源，打开ESSD论文：https://essd.copernicus.org/articles/17/965/2025/。,这是从图表追到数据论文。,SIFT · Trace,学生执行,高,自行从图表回追 ESSD 上游,,,,,,引导后自发接续,R93,中,—,自行从图表回追 ESSD 上游
105,E038,交互轮,排放数据链,2 资料/文献,ESSD页面标题是Global Carbon Budget 2024，发表页面是2025。,注意区分数据年度和发表年份。,,,,,,,,,,自发,,低,—,"仅区分""数据年度 vs 发表年份"";全表无一行涉及变绿数据的 2000–2017 观测窗"
106,E038,内部批注,排放数据链,2 资料/文献,我写data provenance：OWID chart based on Global Carbon Budget / ESSD。,准确。,,,,,,,,,,自发,,低,—,
107,E038,内部批注,排放数据链,2 资料/文献,我不写OWID and ESSD both independently show，因为它们是同一数据链。,很好。,,,,,,,,,,自发,,低,—,
108,E038,内部批注,排放数据链,2 资料/文献,是中国 2024 年占全球 年度 CO₂ 排放的份额31.8%（来自 OWID/GCB 排放数据链）和我们之前搜索到的25%中国对全球 净叶面积增加 的贡献，来自 NASA/Nature 那条 greening 证据链什么关系？,很好的问题。,论证解剖 / warrant,学生执行,高,学生自己提出两个数字的关系问题，论证解剖动作在学生侧,,,,,,自发,,低,—,"源表未记录触发来源(5.1要件缺失),按3.2保守记引导"
109,E038,内部批注,排放数据链,2 资料/文献,我的回答：不是反驳事实，而是限制推论；两者可以同时为真。,非常好。,,,,,,,,,,自发,,低,—,
110,E038,内部批注,排放数据链,2 资料/文献,A country can contribute to greening and still be a major current emitter。,这句是论证整合。,,,,,,,,,,自发,,低,—,
111,E039,内部批注,排放数据链,2 资料/文献,我删掉句子：China's emissions prove it did not help the Earth at all。,删得对。它无视正面greening证据。,,,,,,,,,,自发,,低,—,
112,E040,内部批注,排放数据链,2 资料/文献,我改成：China's current emissions limit how far the greening evidence can support a sustainability claim。,很好。,,,,,,,,,,自发,,低,—,
113,E041,内部批注,排放数据链,2 资料/文献,"证据卡OWID/GCB-1我先记来源：OWID annual-share chart, with Global Carbon Budget / ESSD as underlying data chain",先确认这是谁说的、是什么类型的材料。,,,,,,,,,,自发,,高,—,套版填写(证据卡/资源表骨架源自R9 AI)
114,E041,内部批注,排放数据链,2 资料/文献,这张卡里我真正拿到的事实是：China about 31.8% of global CO2 emissions in 2024,事实要保留指标、对象和时间范围。,,,,,,,,,,自发,,高,—,套版填写(证据卡/资源表骨架源自R9 AI)
115,E041,内部批注,排放数据链,2 资料/文献,"我准备用它说明一个比较小的判断：China remains a major current emitter, limiting a full sustainability claim",这个判断要比事实高一层，但不能比事实大太多。,,,,,,,,,,自发,,高,—,套版填写(证据卡/资源表骨架源自R9 AI)
116,E041,内部批注,排放数据链,2 资料/文献,"中间的理由我这样写：if climate stability is part of sustainability, annual CO2 share matters when judging planetary impact",这一步就是把事实和观点接起来，很关键。,,,,,,,,,,自发,,高,—,套版填写(证据卡/资源表骨架源自R9 AI)
117,E041,内部批注,排放数据链,2 资料/文献,"注意：annual share, not cumulative historical responsibility",保留这个限制，后面可以防止过度结论。,,,,,,,,,,自发,,高,—,套版填写(证据卡/资源表骨架源自R9 AI)
118,E041,内部批注,排放数据链,2 资料/文献,"注意：CO2, not all greenhouse gases or all pollution",保留这个限制，后面可以防止过度结论。,,,,,,,,,,自发,,高,—,套版填写(证据卡/资源表骨架源自R9 AI)
119,E041,内部批注,排放数据链,2 资料/文献,注意：does not erase greening evidence; it limits the conclusion,保留这个限制，后面可以防止过度结论。,,,,,,,,,,自发,,高,—,套版填写(证据卡/资源表骨架源自R9 AI)
120,E041,内部批注,排放数据链,2 资料/文献,这张卡最后大概放在：body paragraph 2 as core limiting evidence,位置清楚，正文才不会变成资料堆叠。,,,,,,,,,,自发,,高,—,套版填写(证据卡/资源表骨架源自R9 AI)
121,E041,内部批注,排放数据链,2 资料/文献,我想找最新趋势，但不想让趋势和年度份额混掉。,对。趋势和份额是不同指标。,,,,,,,,,,自发,,低,—,
122,E042,内部批注,排放数据链,2 资料/文献,我搜China CO2 emissions 2025 decline IEA。,搜索词有国家、指标、年份和机构。,数据三问,学生执行,中,学生发言中含动作或判断,,,,,,自发,,低,—,透镜标签不构成引导（v3 修订）
123,E043,交互轮,排放数据链,2 资料/文献,我打开IEA页面：https://www.iea.org/reports/global-energy-review-2026/co2-emissions。,记录为IEA报告页面。,,,,,,,,,,自发,,低,—,
124,E043,内部批注,排放数据链,2 资料/文献,我先看标题CO2 emissions和报告系列Global Energy Review 2026。,很好。,,,,,,,,,,自发,,低,—,
125,E043,内部批注,排放数据链,2 资料/文献,我写source type：international energy agency trend report page。,准确。,,,,,,,,,,自发,,低,—,
126,E043,内部批注,排放数据链,2 资料/文献,我检查口径：energy-related CO2。,这个口径必须写。,,,,,,,,,,自发,,低,—,
