RunGroup,Case,Sample,Selection,Model,WireModel,ResponseModel,Millis,ValidationError
main-baseline,TestClarityReading/connect,3,baseline,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,1330,
main-baseline,TestClarityReading/done,1,baseline,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,1152,"advance = """", want ""done"""
main-baseline,TestClarityReading/done,2,baseline,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,1739,"advance = """", want ""done"""
main-baseline,TestClarityReading/done,3,baseline,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,1269,"advance = """", want ""done"""
main-baseline,TestClarityReading/help,1,baseline,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,1274,
main-baseline,TestClarityReading/help,2,baseline,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,1626,
main-baseline,TestClarityReading/help,3,baseline,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,1129,
main-baseline,TestClarityReading/hunt-no-pick,1,baseline,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,1562,
main-baseline,TestClarityReading/hunt-no-pick,2,baseline,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,1178,
main-baseline,TestClarityReading/hunt-no-pick,3,baseline,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,1541,
main-baseline,TestClarityReading/hunt-picked,1,baseline,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,1752,"advance = """", want ""done"""
main-baseline,TestClarityReading/hunt-picked,2,baseline,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,1620,
main-baseline,TestClarityReading/hunt-picked,3,baseline,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,2055,
main-baseline,TestClarityReading/hunt-skip,1,baseline,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,967,
main-baseline,TestClarityReading/hunt-skip,2,baseline,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,1068,
main-baseline,TestClarityReading/hunt-skip,3,baseline,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,1029,
main-baseline,TestClarityReading/partial,1,baseline,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,1723,
main-baseline,TestClarityReading/partial,2,baseline,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,1258,
main-baseline,TestClarityReading/partial,3,baseline,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,1380,
main-baseline,TestClarityReading/read-done,1,baseline,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,1624,
main-baseline,TestClarityReading/read-done,2,baseline,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,1549,"advance = """", want ""done"""
main-baseline,TestClarityReading/read-done,3,baseline,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,1269,
main-baseline,TestClarityReading/skip,1,baseline,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,883,
main-baseline,TestClarityReading/skip,2,baseline,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,797,
main-baseline,TestClarityReading/skip,3,baseline,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,1108,
pbl-v2,TestClarityPBL/concept,1,final,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,2909,
pbl-v2,TestClarityPBL/concept,2,final,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,1978,
pbl-v2,TestClarityPBL/concept,3,final,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,2117,
pbl-v2,TestClarityPBL/course,1,final,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,1487,
pbl-v2,TestClarityPBL/course,2,final,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,2089,
pbl-v2,TestClarityPBL/course,3,final,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,1761,
pbl-v2,TestClarityPBL/examples,1,final,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,4045,
pbl-v2,TestClarityPBL/examples,2,final,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,2605,
pbl-v2,TestClarityPBL/examples,3,final,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,2508,
pbl-v2,TestClarityPBL/observe,1,final,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,2447,
pbl-v2,TestClarityPBL/observe,2,final,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,2539,
pbl-v2,TestClarityPBL/observe,3,final,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,2418,
pbl-v2,TestClarityPBL/plan,1,final,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,5236,
pbl-v2,TestClarityPBL/plan,2,final,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,6961,
pbl-v2,TestClarityPBL/plan,3,final,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,7209,
pbl-v2,TestClarityPBL/split,1,final,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,3426,
pbl-v2,TestClarityPBL/split,2,final,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,2757,
pbl-v2,TestClarityPBL/split,3,final,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,3199,
scoped,TestClarityReading/concept,1,final,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,1831,
scoped,TestClarityReading/concept,2,final,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,1414,
scoped,TestClarityReading/concept,3,final,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,2009,
scoped,TestClarityReading/connect,1,final,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,1220,
scoped,TestClarityReading/connect,2,final,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,1368,
scoped,TestClarityReading/connect,3,final,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,1781,
scoped,TestClarityReading/done,1,final,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,1261,
scoped,TestClarityReading/done,2,final,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,1659,
scoped,TestClarityReading/done,3,final,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,1469,
scoped,TestClarityReading/help,1,final,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,1509,
scoped,TestClarityReading/help,2,final,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,1328,
scoped,TestClarityReading/help,3,final,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,1009,
scoped,TestClarityReading/hunt-no-pick,1,final,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,980,
scoped,TestClarityReading/hunt-no-pick,2,final,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,820,
scoped,TestClarityReading/hunt-no-pick,3,final,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,1785,
scoped,TestClarityReading/hunt-picked,1,final,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,1994,
scoped,TestClarityReading/hunt-picked,2,final,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,1468,
scoped,TestClarityReading/hunt-picked,3,final,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,1330,
scoped,TestClarityReading/hunt-skip,1,final,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,2134,
scoped,TestClarityReading/hunt-skip,2,final,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,1129,
scoped,TestClarityReading/hunt-skip,3,final,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,1567,
scoped,TestClarityReading/partial,1,final,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,1521,
scoped,TestClarityReading/partial,2,final,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,1869,
scoped,TestClarityReading/partial,3,final,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,1241,
scoped,TestClarityReading/read-done,1,final,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,1262,
scoped,TestClarityReading/read-done,2,final,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,1111,
scoped,TestClarityReading/read-done,3,final,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,1371,
scoped,TestClarityReading/skip,1,final,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,1114,
scoped,TestClarityReading/skip,2,final,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,1160,
scoped,TestClarityReading/skip,3,final,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,1089,
sequence,TestClarityReadingSequence/library-1/turn-1,1,final,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,1204,
sequence,TestClarityReadingSequence/library-1/turn-2,1,final,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,1336,
sequence,TestClarityReadingSequence/library-1/turn-3,1,final,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,1255,
sequence,TestClarityReadingSequence/library-2/turn-1,1,final,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,1099,
sequence,TestClarityReadingSequence/library-2/turn-2,1,final,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,1160,
sequence,TestClarityReadingSequence/library-2/turn-3,1,final,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,1229,
sequence,TestClarityReadingSequence/library-3/turn-1,1,final,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,1209,
sequence,TestClarityReadingSequence/library-3/turn-2,1,final,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,1367,
sequence,TestClarityReadingSequence/library-3/turn-3,1,final,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,1500,
sequence,TestClarityReadingSequence/urban-heat-1/turn-1,1,final,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,1799,
sequence,TestClarityReadingSequence/urban-heat-1/turn-2,1,final,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,1748,
sequence,TestClarityReadingSequence/urban-heat-1/turn-3,1,final,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,1518,
sequence,TestClarityReadingSequence/urban-heat-2/turn-1,1,final,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,1271,
sequence,TestClarityReadingSequence/urban-heat-2/turn-2,1,final,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,1496,
sequence,TestClarityReadingSequence/urban-heat-2/turn-3,1,final,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,1383,
sequence,TestClarityReadingSequence/urban-heat-3/turn-1,1,final,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,1247,
sequence,TestClarityReadingSequence/urban-heat-3/turn-2,1,final,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,1226,
sequence,TestClarityReadingSequence/urban-heat-3/turn-3,1,final,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,1528,
smoke,TestClarityReading/concept,1,historical,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,1751,
